TIME;CH1;CH2;;;PROBE X;V/DIV;T/DIV;V_MIN;V_MAX;V_AVG;;;2026/03/11 21:44;;FNIRSI 1013D;
2,00E-5;-6,00E-3;-1,00E-2;;TRUE;1;5,00E-2;5,00E-4;-6,80E-2;3,80E-2;-3,11E-3;D:\4.wav;;;;;
3,00E-5;-6,00E-3;-1,00E-2;;TRUE;1;5,00E-2;5,00E-4;-7,20E-2;3,40E-2;-4,69E-3;;;;;;
4,00E-5;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
5,00E-5;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
6,00E-5;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
7,00E-5;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
8,00E-5;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
9,00E-5;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,00E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
1,10E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
1,20E-4;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
1,30E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
1,40E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
1,50E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
1,60E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
1,70E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
1,80E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
1,90E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
2,00E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
2,10E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
2,20E-4;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
2,30E-4;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
2,40E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
2,50E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
2,60E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
2,70E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
2,80E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
2,90E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
3,00E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
3,10E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
3,20E-4;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
3,30E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
3,40E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
3,50E-4;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
3,60E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
3,70E-4;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
3,80E-4;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
3,90E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
4,00E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
4,10E-4;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
4,20E-4;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
4,30E-4;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
4,40E-4;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
4,50E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
4,60E-4;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
4,70E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
4,80E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
4,90E-4;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
5,00E-4;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
5,10E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
5,20E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
5,30E-4;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
5,40E-4;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
5,50E-4;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
5,60E-4;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
5,70E-4;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
5,80E-4;-1,00E-2;-6,00E-3;;;;;;;;;;;;;;
5,90E-4;-2,00E-3;-1,00E-2;;;;;;;;;;;;;;
6,00E-4;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
6,10E-4;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
6,20E-4;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
6,30E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
6,40E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
6,50E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
6,60E-4;-2,00E-3;-1,00E-2;;;;;;;;;;;;;;
6,70E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
6,80E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
6,90E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
7,00E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
7,10E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
7,20E-4;-2,00E-3;-1,00E-2;;;;;;;;;;;;;;
7,30E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
7,40E-4;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
7,50E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
7,60E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
7,70E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
7,80E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
7,90E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
8,00E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
8,10E-4;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
8,20E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
8,30E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
8,40E-4;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
8,50E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
8,60E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
8,70E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
8,80E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
8,90E-4;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
9,00E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,10E-4;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,20E-4;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
9,30E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
9,40E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
9,50E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
9,60E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
9,70E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
9,80E-4;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
9,90E-4;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,00E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,01E-3;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,02E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,03E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,04E-3;-1,00E-2;-6,00E-3;;;;;;;;;;;;;;
1,05E-3;-1,00E-2;-6,00E-3;;;;;;;;;;;;;;
1,06E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,07E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,08E-3;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,09E-3;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,10E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,11E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,12E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,13E-3;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,14E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
